쏘나타	1985-1995	-	-	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
아이오닉 (1세대, HEV/PHEV/EV 통합모델 — 서브브랜드 분리 전)	2020	NCF2952X	ID47	PN 95440-G2000, 95440-G2010	
아이오닉 (1세대, HEV/PHEV/EV 통합모델 — 서브브랜드 분리 전)	2021	NCF2952X	ID47	PN 95440-G2500	
아이오닉 (1세대, HEV/PHEV/EV 통합모델 — 서브브랜드 분리 전)	2022	NCF2952X	ID47	PN 95440-G2500	원조 '아이오닉' 마지막 연식 — 이후 아이오닉은 서브브랜드로 독립하여 아이오닉5/5N/6/9로 이어짐(아래 별도 항목 참고)
아이오닉5	2021	NCF29AxM	ID4A	국내 부품번호 확인 필요	아이오닉5 국내 출시(2021.2), 북미는 2022년형으로 출시
아이오닉5	2022	NCF29AxM	ID4A	PN 95440-GI020, 95440-GI080	
아이오닉5	2023	NCF29AxM	ID4A	PN 95440-GI020, 95440-GI080	
아이오닉5 (페이스리프트)	2024	NCF29AxM/NCF29A1M	ID4A	PN 95440-GI010, 95440-GI050, 95440-GI100, 95440-GI130	2024년 페이스리프트로 다수의 버튼 구성(5/7/8버튼) 및 시장별 부품번호로 세분화
아이오닉5 (페이스리프트)	2025	NCF29AxM/NCF29A1M	ID4A	PN 95440-GI100, 95440-GI130	
아이오닉5 (페이스리프트)	2026	NCF29AxM/NCF29A1M(추정)	ID4A(추정)	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
아이오닉5 N	2024	-	ID4A	PN 95440-NI000	아이오닉5 N 출시년도(2023년말 공개, 2024년형부터 판매) — 기존 자료의 '2023년 출시'는 정정 필요
아이오닉5 N	2025	-	ID4A	PN 95440-NI000	
아이오닉5 N	2026	-	ID4A(추정)	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
아이오닉6 (CE1 초기형)	2022	-	ID4A(추정)	국내 부품번호 확인 필요	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
아이오닉6 (CE1 초기형)	2023	NCF29AxM 또는 ID6A(소스 상충)	ID4A 또는 ID6A(소스 상충)	PN 95440-KL000, 95440-KL200	
아이오닉6 (CE1 초기형)	2024	NCF29AxM 또는 ID6A(소스 상충)	ID4A 또는 ID6A(소스 상충)	PN 95440-KL000, 95440-KL200	
아이오닉6 (CE1 초기형/CE1 PE 페이스리프트)	2025	초기형 NCF29AxM 또는 ID6A	초기형 ID4A 또는 ID6A / 페이스리프트 미확인	PN 95440-KL000, 95440-KL200, 95440-KL500, 95440-KL510, 95440-KL550, 95440-KL560 / 비상키: PN 81996-KL010	2025년 7월 28일 국내 페이스리프트(CE1 PE) 출시 경계 연도 — 부품번호가 KL000계열에서 KL500계열로 완전히 바뀜. 페이스리프트분의 정확한 칩 종류는 아직 확인 못함
아이오닉6 (CE1 PE 페이스리프트)	2026	-	-	PN 95440-KL500, 95440-KL510, 95440-KL550, 95440-KL560	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
아이오닉9	2024	-	-	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
아이오닉9	2025	NCF29AxM	ID4A	PN 95440-GO000, 95440-GO010, 95440-GO030	
아이오닉9	2026	NCF29AxM	ID4A	PN 95440-GO000, 95440-GO010, 95440-GO030	
싼타페 SM	2000	-	4D60 / ID60	국내 부품번호 확인 필요	
싼타페 SM	2001	-	4D60 / ID60	-	
싼타페 SM	2002	-	4D60/ID60 또는 ID46	-	카탈로그상 2000-2002와 2002-2006 구간이 2002년에 겹침
싼타페 SM	2003	PCF7936	ID46	리모컨: PN 95411-26200, 95411-26201, 95411-26202	북미 일부 저가 트림은 비-트랜스폰더(기계식, X232/HY12)였던 것으로 확인(2001-2006). 캐나다형은 트랜스폰더(HYN6) 확인됨(2002-2006) — 시장별 사양 차이 존재
싼타페 SM	2004	PCF7936	ID46	리모컨: PN 95411-26201	
싼타페 SM	2005	PCF7936	ID46	리모컨: PN 95411-26202	
싼타페 SM/CM	2006	PCF7936	ID46	국내 부품번호 확인 필요	
싼타페 CM	2007	PCF7936	ID46	리모컨: PN 95411-0W100, 95411-0W120	
싼타페 CM	2008	PCF7936	ID46	리모컨: PN 95411-0W100	
싼타페 CM	2009	PCF7936	ID46	리모컨: PN 95411-0W100	
싼타페 CM	2010	PCF7936	ID46	리모컨: PN 95430-2B020, 95440-2B100	
싼타페 CM	2011	PCF7936/PCF7952	ID46	리모컨: PN 95430-2B020, 95440-2B100	
싼타페 CM/DM	2012	PCF7936/PCF7952	ID46	국내 부품번호 확인 필요	
싼타페 DM	2013	PCF7952(스마트)	ID46	스마트키: PN 95440-4Z200	
싼타페 DM	2014	PCF7952(스마트)	ID46	스마트키: PN 95440-4Z200	
싼타페 DM	2015	PCF7952(스마트)	ID46	스마트키: PN 95440-4Z200	
싼타페 DM	2016	NCF2952X(신형)	ID46 / ID47	PN 95440-2W500, 95440-4Z000, 95440-B8100, 95440-4Z200	
싼타페 DM	2017	NCF2952X	ID46 / ID47	PN 95440-2W500, 95440-4Z000, 95440-B8100	
싼타페 DM/TM	2018	NCF2952X	ID46 / ID47	국내 부품번호 확인 필요	
싼타페 TM (출시형)	2019	NCF2952X/PCF7953	ID47	PN 95440-S1000, 95440-S2000	
싼타페 TM (출시형)	2020	NCF2952X/PCF7953	ID47	PN 95440-S1000, 95440-S2000	
싼타페 TM (부분변경)	2021	NCF29AxX/NCF29A1X	ID47	PN 95440-S1560	여러 소스(abkeys/mk3/transponderisland/keylessbest)가 일관되게 ID47로 확인 — 이전에 'ID4A 추정'이라고 했던 건 정정함
싼타페 TM (부분변경)	2022	NCF29AxX/NCF29A1X	ID47	PN 95440-S1560, 95440-S1600	
싼타페 TM (부분변경)	2023	NCF29AxX/NCF29A1X	ID47	PN 95440-S1560	TM 부분변경 마지막 연식 — 2023.8 MX5 출시로 전환. 같은 2023년 안에 TM 후기 생산분과 MX5 초기 생산분(Hitag AES/ID4A, FCC TQ8-FOB-4F61M43, PN 95440-BE000 등)이 섞여있을 수 있음
싼타페 MX5	2024	-	ID4A	PN 95440-BE000, 95440-BE200, 95440-P6040, 95440-P6050, 95440-P6060	
싼타페 MX5	2025	-	ID4A	PN 95440-P6090, 95440-BE560, 95440-BE060, 95440-BE010	2025.8.7 연식변경 '2026 싼타페' 출시
싼타페 MX5	2026	-	ID4A	PN 95440-P6090, 95440-BE560	
팰리세이드 LX2	2018	-	-	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
팰리세이드 LX2	2019	NCF2952X/PCF7953	ID47	스마트키: PN 95440-S8010 / 비상키: PN 81996-S1020	
팰리세이드 LX2	2020	NCF2952X/PCF7953	ID47	스마트키: PN 95440-S8010, 95440-S8400 / 비상키: PN 81996-S1020	국내 현대모비스 확인 — 같은 해 안에 날짜 기준으로 부품번호가 갈림
팰리세이드 LX2	2021	NCF2952X/PCF7953	ID47	스마트키: PN 95440-S8400, 95440-S8450 / 비상키: PN 81996-S1020	국내 현대모비스 확인
팰리세이드 LX2/LX2 페이스리프트	2022	NCF2952X/PCF7953	ID47	스마트키: PN 95440-S8450, 95440-S8600	LX2 페이스리프트 출시로 전환되는 해
팰리세이드 LX2 페이스리프트	2023	NCF2952X/PCF7953	ID47	스마트키: PN 95440-S8540, 95440-S8550, 95440-S8590, 95440-S8600 / 비상키: PN 81996-S1030	
팰리세이드 LX2 페이스리프트	2024	NCF2952X/PCF7953	ID47	스마트키: PN 95440-S8540, 95440-S8550, 95440-S8590, 95440-S8600	
팰리세이드 LX2 페이스리프트	2025	NCF2952X/PCF7953	ID47	스마트키: PN 95440-S8540, 95440-S8550, 95440-S8590, 95440-S8600	
팰리세이드 LX2 페이스리프트	2026	NCF2952X/PCF7953(추정)	ID47(추정)	스마트키: PN 95440-S8600	
투싼 JM	2004	PCF7936	ID46	국내 부품번호 확인 필요	
투싼 JM	2005	PCF7936(ID46 트림)	ID46 또는 미탑재(X236/HY14)	리모컨: PN 95430-2E200, 95430-2E210	북미 저가 트림은 비-트랜스폰더(기계식)였고, 캐나다·상위트림은 ID46(HYN6) 확인 — 시장·트림별 사양 차이 존재
투싼 JM	2006	PCF7936(ID46 트림)	ID46 또는 미탑재	리모컨: PN 95430-2E200	
투싼 JM	2007	PCF7936(ID46 트림)	ID46 또는 미탑재	리모컨: PN 95430-2E200	
투싼 JM	2008	PCF7936(ID46 트림)	ID46 또는 미탑재	리모컨: PN 95430-2E200	
투싼 JM/LM	2009	PCF7936(ID46 트림)	ID46 또는 미탑재	리모컨: PN 95430-2E200	
투싼 LM (ix35)	2010	PCF7952A(스마트)	ID46	스마트키: PN 95440-2S300	
투싼 LM (ix35)	2011	PCF7952A(스마트)	ID46	스마트키: PN 95440-2S300	
투싼 LM (ix35)	2012	PCF7952A(스마트)	ID46	스마트키: PN 95440-2S300	
투싼 LM (ix35)	2013	PCF7952A(스마트)	ID46	국내 부품번호 확인 필요	
투싼 LM (ix35)	2014	PCF7952A(스마트)	ID46	스마트키: PN 95440-2S300, 95440-2S600	
투싼 LM/TL	2015	PCF7952A(스마트)	ID46	국내 부품번호 확인 필요	
투싼 TL	2016	-	ID6E-MA 또는 ID47	스마트키: PN 95440-D3100	
투싼 TL	2017	-	ID6E-MA 또는 ID47	스마트키: PN 95440-D3100	
투싼 TL (페이스리프트)	2018	NCF2952X(스마트)	ID6E-MA 또는 ID47	스마트키: PN 95440-D3510	
투싼 TL (페이스리프트)	2019	NCF2952X(스마트)	ID6E-MA 또는 ID47	스마트키: PN 95440-D3510 / 일반키: PN 95430-D3010	
투싼 TL/NX4	2020	-	-	국내 부품번호 확인 필요	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
투싼 NX4 (초기형)	2021	-	ID47	PN 95440-N9070, 95440-N9072, 95440-N9082, 95440-K5002	여러 소스가 TQ8-FOB-4F27/4F28를 일관되게 '47 Chip'으로 명시 — 이전에 'Hitag AES/ID4A'라고 했던 건 정정함
투싼 NX4 (초기형)	2022	-	ID47	PN 95440-N9070	2023년형 연식변경(2022.7.14 출시, 4WD 추가)
투싼 NX4 (초기형)	2023	-	ID47	PN 95440-N9070, 95440-N9072	NX4 초기형 마지막 연식(2023.11)
투싼 NX4 (페이스리프트)	2024	-	ID47	PN 95440-N9070	더 뉴 투싼 페이스리프트(2023.12) 출시 반영 연식
투싼 NX4 (페이스리프트)	2025	-	ID47	PN 95440-N9070	
투싼 NX4 (페이스리프트, 2026년형)	2026	-	ID47(추정)	국내 부품번호 확인 필요	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
베라크루즈	2006	PCF7936(일반)/PCF7952(스마트)	ID46	리모컨: PN 95430-3J100 / 스마트키: PN 95440-3J400, 95440-3J501	국내 출시(2006) — 2008.9.1 이전 생산분 부품번호
베라크루즈	2007	PCF7936(일반)/PCF7952(스마트)	ID46	리모컨: PN 95430-3J100 / 스마트키: PN 95440-3J400, 95440-3J501	
베라크루즈	2008	PCF7936(일반)/PCF7952(스마트)	ID46	리모컨: PN 95430-3J100, 95430-3J301 / 스마트키: PN 95440-3J400, 95440-3J550	국내 현대모비스 확인 — 같은 해 안에 날짜 기준으로 부품번호가 갈림
베라크루즈	2009	PCF7936(일반)/PCF7952(스마트)	ID46	리모컨: PN 95430-3J301 / 스마트키: PN 95440-3J550, 95440-3J560	
베라크루즈	2010	PCF7936(일반)/PCF7952(스마트)	ID46	리모컨: PN 95430-3J301 / 스마트키: PN 95440-3J550, 95440-3J560	
베라크루즈	2011	PCF7936(일반)/PCF7952(스마트)	ID46	리모컨: PN 95430-3J301 / 스마트키: PN 95440-3J550, 95440-3J560	
베라크루즈	2012	PCF7936(일반)/PCF7952(스마트)	ID46	리모컨: PN 95430-3J301 / 스마트키: PN 95440-3J550, 95440-3J560	국내 마지막 판매 연식(2012년경 단종)
베라크루즈 (수출형 ix55)	2013	-	-	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
베라크루즈 (수출형 ix55)	2014	-	-	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
베라크루즈 (수출형 ix55)	2015	-	-	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
스타렉스 A1	1997	-	-	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
스타렉스 A1	1998	-	ID4C	-	
스타렉스 A1	1999	-	ID4C	-	
스타렉스 A1	2000	-	ID4C	-	
스타렉스 A1	2001	-	ID4C	-	
스타렉스 A1	2002	-	ID4C	-	
스타렉스 A1	2003	-	ID4C	-	
스타렉스 A1	2004	-	ID4C	-	
스타렉스 A1	2005	-	ID4C	-	
스타렉스 A1	2006	-	ID4C 또는 4D60/ID60	-	카탈로그상 1998-2006과 2006-2011 구간이 2006년에 겹침
그랜드스타렉스	2007	-	미탑재 또는 4D60/ID60	리모컨: PN 95430-4H400, 95430-4H500	국내 현대모비스 확인 — 같은 차종에 이모빌라이저 유/무 트림이 실제로 공존
그랜드스타렉스	2008	-	미탑재 또는 4D60/ID60	리모컨: PN 95430-4H400, 95430-4H500, 81996-4H100, 81996-4H200	
그랜드스타렉스	2009	-	미탑재 또는 4D60/ID60	리모컨: PN 95430-4H400, 95430-4H500, 81996-4H100, 81996-4H200	
그랜드스타렉스	2010	-	미탑재 또는 4D60/ID60	리모컨: PN 95430-4H400, 95430-4H500, 81996-4H100, 81996-4H200	
그랜드스타렉스	2011	PCF7936(추정)	ID46(추정) 또는 4D60/ID60	리모컨: PN 95430-4H400, 95430-4H500, 81996-4H100, 81996-4H200	2011년경 ID46 전환 시점으로 추정되나 정확한 전환 연도는 확인 안 됨
그랜드스타렉스	2012	PCF7936	ID46	리모컨: PN 95430-4H400, 95430-4H500, 81996-4H100, 81996-4H200	
그랜드스타렉스	2013	PCF7936	ID46	리모컨: PN 95430-4H400, 95430-4H500, 81996-4H100, 81996-4H200	
그랜드스타렉스	2014	PCF7936	ID46	리모컨: PN 95430-4H400, 95430-4H500	
그랜드스타렉스	2015	PCF7936	ID46	리모컨: PN 95430-4H400, 95430-4H500	
그랜드스타렉스	2016	PCF7936	ID46	리모컨: PN 95430-4H400, 95430-4H500	
그랜드스타렉스	2017	PCF7936	ID46	리모컨: PN 95430-4H400, 95430-4H500, 95430-4H401	
그랜드스타렉스 (페이스리프트)	2018	PCF7936	ID46	리모컨: PN 95430-4H401	2018.4.2 부품 세대교체 경계
그랜드스타렉스 (페이스리프트)	2019	-	ID46	국내 부품번호 확인 필요	
그랜드스타렉스 (페이스리프트)	2020	-	ID46	국내 부품번호 확인 필요	
그랜드스타렉스 (페이스리프트)	2021	-	ID46	국내 부품번호 확인 필요	스타리아 출시(2021.4)와 함께 그랜드스타렉스 병행 판매(일부 상용 트림)
스타리아	2021	-	ID4A	폴딩키: PN 95430-CG000, 95430-CG100 / 비상키: PN 81996-L1100 / 스마트키: PN 95440-CG020 / 비상키: PN 81996-M5000	스타리아 출시(2021.4)
스타리아	2022	-	ID4A	폴딩키: PN 95430-CG000, 95430-CG100 / 스마트키: PN 95440-CG120, 95440-CG030	
스타리아	2023	-	ID4A	스마트키: PN 95440-CG020, 95440-CG120, 95440-CG030 / 비상키: PN 81996-M5000, 95440-CG520, 95440-CG620, 95440-CG530, 81996-AA540	국내 현대모비스 확인 — 2023.9.20 기준 US4 페이스리프트로 부품번호 전면 교체
스타리아 US4 (페이스리프트)	2024	-	ID4A	스마트키: PN 95440-CG520, 95440-CG620, 95440-CG530 / 비상키: PN 81996-AA540	
스타리아 US4 (페이스리프트)	2025	-	ID4A	스마트키: PN 95440-CG520, 95440-CG620, 95440-CG530 / 비상키: PN 81996-AA540	
스타리아 US4 (페이스리프트)	2026	-	ID4A(추정)	스마트키: PN 95440-CG520, 95440-CG620, 95440-CG530	
맥스크루즈	2013	PCF7952(스마트)	ID46	스마트키: PN 95440-2W500	국내 출시(2013.2.19) — 싼타페DM/싼타페DM 더프라임과 부품 공용
맥스크루즈	2014	PCF7952(스마트)	ID46	스마트키: PN 95440-2W500, 95440-B8100	부품번호 전환 시기가 겹치는 구간(2014.10~2015.8) 존재
맥스크루즈	2015	PCF7952(스마트)	ID46	스마트키: PN 95440-2W500, 95440-B8100	
맥스크루즈	2016	PCF7952(스마트)	ID46 또는 ID47	스마트키: PN 95440-B8100	
맥스크루즈	2017	PCF7952(스마트)	ID46 또는 ID47	스마트키: PN 95440-B8100	
맥스크루즈	2018	PCF7952(스마트)	ID46 또는 ID47	스마트키: PN 95440-B8100	
맥스크루즈	2019	PCF7952(스마트, 추정)	ID46 또는 ID47(추정)	PN 95440-B8100	맥스크루즈 마지막 연식(2019년경 단종, 후속 없음)
코나 OS	2017	NCF2952X	ID47	스마트키: PN 95440-J9000 / 비상키: PN 81996-J9020	코나 국내외 출시(2017)
코나 OS	2018	NCF2952X	ID47	스마트키: PN 95440-J9000 / 비상키: PN 81996-J9020	코나 전기차 출시(2018)
코나 OS	2019	NCF2952X	ID47	스마트키: PN 95440-J9000, 95440-J9001	국내 현대모비스 확인 — 코나OS/코나하이브리드/코나전기차 공용
코나 OS	2020	NCF2952X	ID47	스마트키: PN 95440-J9001, 95440-J9200, 95440-J9250	
코나 OS	2021	NCF2952X	ID47	스마트키: PN 95440-J9200, 95440-J9250	코나N 출시(2021) — 같은 OS 플랫폼/부품 계열로 추정
코나 OS	2022	NCF2952X	ID47	스마트키: PN 95440-J9200, 95440-J9250	코나OS 마지막 연식
코나 SX2 (가솔린/하이브리드)	2023	-	ID4A	스마트키: PN 95440-BE000, 95440-BE010 / 비상키: PN 81996-KL010	SX2 완전변경 출시(2023)
코나 SX2 (전기차)	2023	-	ID4A	스마트키: PN 95440-BF000, 95440-BF020 / 비상키: PN 81996-KL010	
코나 SX2 (가솔린/하이브리드)	2024	-	ID4A	스마트키: PN 95440-BE000, 95440-BE010, 95440-BE500, 95440-BE510	
코나 SX2 (전기차)	2024	-	ID4A	스마트키: PN 95440-BF000, 95440-BF020	
코나 SX2 (가솔린/하이브리드)	2025	-	ID4A	스마트키: PN 95440-BE500, 95440-BE510	
코나 SX2 (전기차)	2025	-	ID4A	스마트키: PN 95440-BF000, 95440-BF020	
코나 SX2	2026	-	ID4A	스마트키: PN 95440-BE500, 95440-BE510, 95440-BF000, 95440-BF020	당초 예정됐던 페이스리프트가 취소되고 3세대 완전변경(프로젝트명 SX3, 2026년말 공개~2027년형 출시 예정)으로 바로 넘어가는 것으로 확인됨 — 따라서 2026년형까지는 SX2 부품이 그대로 이어짐
코나 N (OS)	2021	NCF2952X	ID47	스마트키: PN 95440-J9200, 95440-J9250	코나N 국내 출시(2021)
코나 N (OS)	2022	NCF2952X	ID47	스마트키: PN 95440-J9200, 95440-J9250	
코나 N (OS)	2023	NCF2952X	ID47	스마트키: PN 95440-J9200, 95440-J9250	코나N은 SX2(2세대)로 이어지지 않고 단종된 것으로 추정 — 재확인 필요
베뉴 (QX)	2019	-	-	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
베뉴 (QX)	2020	NCF2952X(추정)	ID47(추정)	국내 부품번호 확인 필요	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
베뉴 (QX)	2021	NCF2952X	ID47	폴딩키: PN 95430-K2500 / 비상키: PN 81996-J9000 / 스마트키: PN 95440-K2400, 95440-K2410	국내 현대모비스 확인 — 2021.12.1 기준 스마트키 부품번호 전환
베뉴 (QX)	2022	NCF2952X	ID47	폴딩키: PN 95430-K2500 / 스마트키: PN 95440-K2410 / 비상키: PN 81996-J9020	
베뉴 (QX)	2023	NCF2952X	ID47	폴딩키: PN 95430-K2500 / 스마트키: PN 95440-K2410	
베뉴 (QX)	2024	NCF2952X	ID47	스마트키: PN 95440-K2410, 95440-K2450 / 폴딩키: PN 95430-K2500	국내 현대모비스 확인 — 2024.2.28 기준 전환
베뉴 (QX)	2025	NCF2952X	ID47	스마트키: PN 95440-K2450 / 폴딩키: PN 95430-K2500	
베뉴 (QX)	2026	NCF2952X(추정)	ID47(추정)	스마트키: PN 95440-K2450	
캐스퍼 AX1	2021	-	ID4A	일반키: PN 95440-O6000 / 비상키: PN 81996-O6200	캐스퍼 국내 출시(2021.9)
캐스퍼 AX1	2022	-	ID4A	일반키: PN 95440-O6000 / 비상키: PN 81996-O6200	
캐스퍼 AX1	2023	-	ID4A	일반키: PN 95440-O6000 / 비상키: PN 81996-O6200	
캐스퍼 AX1 (가솔린)	2024	-	ID4A	스마트키: PN 95440-O6000, 95440-O6100	국내 현대모비스 확인 — 같은 해 안에 날짜 기준으로 부품번호가 갈림
캐스퍼 일렉트릭 (전기차)	2024	-	ID4A	스마트키: PN 95440-GX000 / 비상키: PN 81996-GX000	캐스퍼 일렉트릭(전기차) 출시(2024)
캐스퍼 AX1 (가솔린)	2025	-	ID4A	스마트키: PN 95440-O6100 / 비상키: PN 81996-O6200	
캐스퍼 일렉트릭 (전기차)	2025	-	ID4A	스마트키: PN 95440-GX000 / 비상키: PN 81996-GX000	
캐스퍼 AX1 (가솔린)	2026	-	ID4A(추정)	스마트키: PN 95440-O6100	
캐스퍼 일렉트릭 (전기차)	2026	-	ID4A(추정)	스마트키: PN 95440-GX000	
넥쏘 FE	2018	NCF2952X/PCF7953	ID47	스마트키: PN 95440-M5300, 95440-M5000	넥쏘 국내 출시(2018)
넥쏘 FE	2019	NCF2952X/PCF7953	ID47	스마트키: PN 95440-M5300, 95440-M5000	
넥쏘 FE	2020	NCF2952X/PCF7953	ID47	스마트키: PN 95440-M5300, 95440-M5000	
넥쏘 FE	2021	NCF2952X/PCF7953	ID47	스마트키: PN 95440-M5300, 95440-M5000, 95440-M5310, 95440-M5010 / 비상키: PN 81996-M5000	국내 현대모비스 확인 — 2021.11.18 기준 부품번호 전환
넥쏘 FE	2022	NCF2952X/PCF7953	ID47	스마트키: PN 95440-M5310, 95440-M5010	
넥쏘 FE	2023	NCF2952X/PCF7953	ID47	스마트키: PN 95440-M5310, 95440-M5010, 95440-M5120, 95440-M5020	국내 현대모비스 확인 — 2023년 한 해 안에 3단계로 부품번호 전환
넥쏘 FE	2024	NCF2952X/PCF7953	ID47	스마트키: PN 95440-M5020 / 비상키: PN 81996-M5000	
넥쏘 FE	2025	NCF2952X/PCF7953	ID47	스마트키: PN 95440-M5020	
넥쏘 FE	2026	NCF2952X/PCF7953(추정)	ID47(추정)	스마트키: PN 95440-M5020	
포터 1세대	1986-2003	-	-	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
포터2	2004	-	4D60/ID60 또는 미탑재	리모컨: PN 81996-4F100, 81996-4F120	포터2 출시(2004) — 상용차 특성상 저가 트림은 이모빌라이저 미탑재
포터2	2005	-	4D60/ID60 또는 미탑재	리모컨: PN 81996-4F100, 81996-4F120	
포터2	2006	-	4D60/ID60 또는 미탑재	리모컨: PN 81996-4F100, 81996-4F120	
포터2	2007	-	4D60/ID60 또는 미탑재	리모컨: PN 81996-4F100, 81996-4F120	
포터2	2008	-	4D60/ID60 또는 미탑재	리모컨: PN 81996-4F100, 81996-4F120, 81996-4F101, 81996-4F121	국내 현대모비스 확인 — 2008.9.2 기준 부품번호 전환
포터2	2009	-	4D60/ID60 또는 미탑재	리모컨: PN 81996-4F101, 81996-4F121	
포터2	2010	-	4D60/ID60 또는 미탑재	리모컨: PN 81996-4F101, 81996-4F121	
포터2	2011	-	4D60/ID60 또는 미탑재	리모컨: PN 81996-4F101, 81996-4F121	
포터2	2012	-	4D60/ID60 또는 미탑재	리모컨: PN 81996-4F101, 81996-4F121	
포터2	2013	-	4D60/ID60 또는 미탑재	리모컨: PN 81996-4F101, 81996-4F121	
포터2	2014	-	4D60/ID60 또는 미탑재	리모컨: PN 81996-4F101, 81996-4F121	
포터2	2015	-	4D60/ID60 또는 미탑재	리모컨: PN 81996-4F101, 81996-4F121	
포터2 (페이스리프트)	2016	PCF7936	ID46	폴딩키: PN 95430-4F500, 95430-4F510, 95430-4F515, 95430-4F000, 95430-4F100, 95430-4F001, 95430-4F101, 95430-4F600 / 비상키: PN 81996-4F700	포터2 페이스리프트(2016) — 정확한 연식별 세부 구간은 미확인, 2016-2022 범위 부품 통합 표기
포터2 (페이스리프트)	2017	PCF7936	ID46	폴딩키: PN 95430-4F500 / 비상키: PN 81996-4F700	
포터2 (페이스리프트)	2018	PCF7936	ID46	폴딩키: PN 95430-4F500 / 비상키: PN 81996-4F700	
포터2 (페이스리프트)	2019	PCF7936	ID46	폴딩키: PN 95430-4F500 / 비상키: PN 81996-4F700	
포터2 (페이스리프트)	2020	PCF7936	ID46	폴딩키: PN 95430-4F500 / 스마트키: PN 95440-4FGA0 / 비상키: PN 81996-4F010, 81996-4F020, 81996-4F025, 81996-4F760, 81996-4F000	
포터2 (페이스리프트)	2021	PCF7936	ID46	폴딩키: PN 95430-4F500 / 스마트키: PN 95440-4FGA0	
포터2 (가솔린/LPG/디젤)	2022	PCF7936	ID46	폴딩키: PN 95430-4F500 / 스마트키: PN 95440-4FGA0	
포터2 일렉트릭 (전기차)	2023	-	ID4A(추정)	스마트키: PN 95440-CN000, 95440-CN100 / 비상키: PN 81996-CN000	국내 현대모비스 확인 — 포터2 일렉트릭 전용 부품, 가솔린/디젤형과 별개
포터2 (가솔린/LPG/디젤)	2023	PCF7936	ID46	폴딩키: PN 95430-4F500 / 스마트키: PN 95440-4FGA0	
포터2 일렉트릭 (전기차)	2024	-	ID4A(추정)	스마트키: PN 95440-CN100 / 비상키: PN 81996-CN000	
포터2 (가솔린/LPG/디젤)	2024	PCF7936	ID46	폴딩키: PN 95430-4F500 / 스마트키: PN 95440-4FGA0	
포터2 일렉트릭 (전기차)	2025	-	ID4A(추정)	스마트키: PN 95440-CN100 / 비상키: PN 81996-CN000	
포터2 (가솔린/LPG/디젤)	2025	PCF7936	ID46	폴딩키: PN 95430-4F500 / 스마트키: PN 95440-4FGA0	
포터2	2026	-	-	국내 부품번호 확인 필요	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
마이티 (Mighty)	1988-2003	-	-	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
마이티 (Mighty)	2004-2026+	-	4D60 / ID60	-	
쏠라티 (Solati)	2015-2026+	PCF7936/PCF7961	ID46	플립키: PN 95430-59000, 95430-59100	카탈로그 원문 HYUNDAI H350(쏠라티의 수출명) 기준
